objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
gbh001,gbh001.jpeg,,,GBH Logo,,2022-11-12,Logo for FB,logo,Quezon City,14.65067503,121.0752371,Marian B,logo,Image;StillImage,image/jpeg,,,
gbh002,gbh002.jpeg,,,GBH Logo,,2022-11-13,Logo for FB,logo,Quezon City,14.65067503,121.0752371,Marian B,logo,Image;StillImage,image/jpeg,,,
gbh003,gbh003.jpeg,,,GBH Logo,,2022-11-14,Logo for FB,logo,Quezon City,14.65067503,121.0752371,Marian B,logo,Image;StillImage,image/jpeg,,,
gbh004,gbh004.jpeg,,,GBH Logo,,2022-11-15,Logo for FB,logo,Quezon City,14.65067503,121.0752371,Marian B,logo,Image;StillImage,image/jpeg,,,
gbh005,gbh005.jpeg,,,GBH Logo,,2022-11-16,Logo for FB,logo,Quezon City,14.65067503,121.0752371,Marian B,logo,Image;StillImage,image/jpeg,,,
gbh006,gbh006.jpeg,,,GBH Logo,,2022-11-17,Logo for FB,logo,Quezon City,14.65067503,121.0752371,Marian B,logo,Image;StillImage,image/jpeg,,,
